;text;sentiment
731; Hey I was scared last night at 3:17 because of you... and I had several bad nightmares;negative
732; gawd. People still remember the preggers comment. Hate you!;negative
733;oh no my tweetdeck is malfunctioning :O il have web will its fixd;negative
734; heeeeey! You abandoned me here on Twitter momma dots?;neutral
735; yeah freakin sucks!!;negative
736;Off the a village May Fayre now.  Bag packed ready to bring back home-made goodies.;neutral
737;#followfriday _1001 cuz ive never been added to anyone`s followfriday either  & cuz he`s got a cool picture;positive
738;Sooo tell me how I lost followerzzz;neutral
739; - thanks for the reply. Of course it doesn`t really explain it  I googled it but found no explanation.;neutral
740;looking for people;neutral
741;wishes that you would see not with your eyes but with your heart.  http://plurk.com/p/sv5bb;positive
742; Awwww   i`ve got some photos of cute bunnies;positive
743;long day and i still have to mow the lawn;negative
744;Shoot. Only 12 miles;neutral
745; why has it been so long since i have talked to you let alone seen you?? it makes me sad;negative
746;Happy mothers day mom  ?;positive
747;I want cookies for breakfast! Luckily I`m an adult and can do that!;positive
748;Mowing #6. I hate my lawn;negative
749; you shouldnt have to reset more than once  if it doesn`t work right the first time, something is up;neutral
750; yeah.. I left cause my pc can`t run the client anymore. I had thought I would have a new one by now..;negative
751;Feeling bad for  profile pic;negative
752;CAPONES island in 2 days!!! my summer is just starting...;neutral
753;movie then sleep! Today was good day  [{H!--D3ff}];positive
754;Planing on going on a little ride on the mtb on monday  may be in over to the tower...;neutral
755;**** fiesta at my house in my mouth  hit me up for the password;neutral
756;the live version is so much better  ? http://blip.fm/~79my3;neutral
757; There`s no pause button in the game of life.;neutral
758; that`s black market material right there, my friend!;neutral
759;is getting married in Vegas in November by an Elvis impersonator am so happy!!!;positive
760; tried to join the chat but the site would not let me sign in;negative
761; where is home??;neutral
762;singing songs and filming movies  what i do best;positive
763;Their songs make me want to cry..;negative
764;While driving u come across aggressive driving behaviour by another driver. U should... Chase the car 2 tell the driver how to drive;negative
765;The Mediteranian Kitchen...oh well can`t get them all right.;neutral
766; what`s wrong?;neutral
767; Wasn`**** totally awesome?  Seeing the rebooted crew was so nice!;positive
768;_d thats good to know, and I bet he looks just like you.;positive
769;_43 HAHHAHAH that really made me laugh out loudd! ahahahahahahahahah your fuunny!!;positive
770;i so wish i could get pregnant!!;positive
771; im trying to fix it.. it doesnt do it  and its 'ahi dios mio' but u did good lol;positive
772; Hiya! Missed you too! What have you been up to?;negative
773;out to play;neutral
774;Really sick;negative
775;yay  my `only on sundays` maid came!! the house will be clean again!!!;neutral
776;Thx, Robban  http://www.sk-gaming.com/match/17905;positive
777; thanks JK!!!  Love ya to death;positive
778;Going to Al Ain.  Need to check out one store. Hope i find things that I`m looking for.;positive
779;Geeze- I`m just wondering what is wrong with some people. I either need to go for a run or go to sleep. Tomorrow should be a fun day.;neutral
780;So my parents are too busy making me feel like **** to realise that I`ve got worse and need to see a doctor again. No sleep sucks;negative
781; G`night Jonathan! I tried to stay up, I really did. I can`t wait till ur in my timezone! Will be so much easier then!;positive
782;Prom is so over rated!! Irritated... Going to bed goodnight;negative
783;Look, everyone! I`m a bad boy! I`m ranked higher than Meghan McCain!  http://tinyurl.com/oj76mz;neutral
784;_rain i wanna see her hair  hows everyone?;neutral
785; Or FTRH -- For The Ride Home;neutral
786; english screwed up my overall percentage in X, in XII again and probably in adm tests too. **** happens.;negative
787; i want chinese food really baaad.;positive
788;is downloading songs  http://plurk.com/p/rp8wx;neutral
789; I almost said, 'and grammer no exist either' grunt.  But I stopped myself;neutral
790;_d you`re gonna take good care of that little baby and he`s gonna be a strong boy, that`s for sure;positive
791; ha! lemme know what you find (tho I suspect it will be a lot of complaints). Have a peaceful night my friend;positive
792;seeing shane dawson videos;neutral
793;  sad face.;negative
794;Aaaaahhhh.... Friday!!!! but.......     Funeral at 5;negative
795;Already misses ;negative
796;_laura_LP ok thanks for the help! I hope they respond to me sooner or later, then! thanks!;positive
797;  out of commish for a few days in ATL with fam.  Just saw the updates to the .net website... Looks AWESOME!;positive
798; awww that sucks  also, when i finish uni, you should totally have a mini housewarming. yes, work it around my schedule, LOL.;negative
799;at famous dave`s with my mom. so hungry.;neutral
800; I would vote for you Miley but I live in Ireland  You`ll be fine  Good luck! Slï¿½n!(bye in irish ) Sorcha xxxx;positive
801;home for the nite, sleeping on the pull out bed with Maggie. wishing it was _durden  I got to find a apt;neutral
802;Oh..Summer begins..yay..  The fighting, Crying and stress has started with the kids..It`s only been 3 hrs since they got out.;negative
803;I feel so deflated. No more doggy.;negative
804; sad about young love coming to an end  They were sooo cute together!;neutral
805; Omg really??  I sowwy! I`ll do it again! :-p I was tired when I did that this morning. :-p lol!;negative
806;owww, back pain  hm, walmart or no? i could get cupcakes~;negative
807; i can`t believe that you guys are gonna stay just one day here in Rio de Janeiro again;neutral
808;Making my boyfriend look different.  He`s  cute no matter what. <3;positive
809; LOL thx;positive
810;is working until 11 tonight  http://plurk.com/p/x2kbv;neutral
811; well there go my peace corps prospects.;positive
812;rmbr the time when we torned for the night in sentosa? I was the only one who didnt have to spit out the ' 3 unknown facts' abt myself;neutral
813; Good idea! I`ll have to remove all the old receipts, tissue paper and other nonsense before I can take a pic;positive
814;whatever will be, will be;neutral
815;Wango tango!!! Good night all;neutral
816; i`m not in the best financial situation myself at the moment. i`m beyond broke. my money is spend as soon as i earn it atm;negative
817; hello you!  you should totally go to the biggest shopping center in Europe and we can go shopping together   ****;neutral
818;Fixing openbox theme a little;neutral
819;Selling my laptop for CHEAP if anyone`s interested!  17' Toshiba 1.3gig ram;neutral
820;If recent experience is anything to go by, I fear I might be going off Indian food. This is not good, people. Not good;negative
821; i wish i wasn`t all  bummed but i kinda am;positive
822; Hey Mitchel when will you be live again? I didn`t get a chance to call you;negative
823;looking at the sunshine out of my office window;neutral
824;Back is SORE... should not have done that jump last night;negative
825; We are working;neutral
826;'Brides a la mode' pow wow first thing this morning   This past weekend`s lovely wedding fresh in my mind... pics soon!;positive
827;Just got my paycheck... April bonus can b deposited 2day the rest, gotta wait til Mon.;neutral
828;nope no way in to stop  just have to put up wiv it;neutral
829;I recommend returning your broken duck toy with the batteis it came with or the person who your giving it to may get mad!!  trust me!;neutral
830; Not so much a substitute as a variation. Ate too much, too. Oof;neutral
831;such beautiful weather.. .why are u sick, baby ?  @ tanapolis;positive
832; Oui mademoiselle. You can barely turn around these days without bumping into one.;neutral
833;Flickr pics Chester Zoo: danwtmoon posted a photo:   'WELCOME' to Chester Zoo by Jockey  http://tinyurl.com/cq7qw8;neutral
834;Woke up and watched Jon and Kate plus eight. I tried to pretend like they were still a normail family;neutral
835; your`e a freak;neutral
836; i dont even know now lenaaa  when you going clothes show?;neutral
837;_jane yay! buti nagustuhan nyo. isang bar lang enclosed ko sa mail.  to test if matutunaw or hindi. next time uli.;neutral
838;Memories;neutral
839; Yep. Nothing to worry about.;positive
840;back to work tomorrow  whose idea was it to go back on a saturday?!? Oh wait... that would be mine. FAIL.;negative
841; Going to start very small, like $0.10 or $0.50  Then slowly to higher stakes;neutral
842; Make a videoblog!;neutral
843;reading Evermore by Lynn Viehl.;neutral
844;Wow what a storm we just had!!! Now no power;positive
845;getting my phone back this week  yeeeewww;positive
846;back from school  daily show was amazing  gonna watch it again later i think xD;positive
847;_breez Yer please do! Have a good day!;positive
848;#musicmonday Epic song. (Y)  ? 'Lights and Sounds' by Yellowcard ~ http://tinyurl.com/db7ppm;neutral
849; hot cuppa coffee made with milk & fortified with Monin`s Irish Coffee syrup! Bliss!;positive
850;right im out of here peeps.. i hope  fixes twitter mobile so i can tweet from the race.. m.twitter has been down for 4 days  #fail;positive
851;My anticipated meet up with Tapan Parikh is no more  apparently he wont pass by Nairobi, and will head straight from Mombasa;neutral
852;watching Army Wives and it always makes me cry;negative
853;productive day 1;positive
854;Rest In Peace  ADaM 12 & GLeNN EPPS.... Gone but never forgotten... what a week ...Loud in da air 4 ya;neutral
855; gotta love the summer;positive
856;Marking going ok so far A`s and B`s so far - relieved it looks like I have future programmers in class;neutral
857; alas no, it`s just a normal night  monday is quiz night;neutral
858;Did anyone go photographing today? I managed to get a few macro shots of some flowers that were blooming;neutral
859;_buckley Good morning from sunny London...sounds like an oxymoron but happens to be true of today  Hurrah!;positive
860; Cool. That`d be fantastic!;positive
861;live on stickam.com/itstyleryo COME CHAT!;neutral
862;   But  is right: This is like the Cape Breton coal mines but ++. No lessons learned.;neutral
863; Yes, but I`m quite rusty.  I`m hoping to get back to it and 'tune up' my skills.  Tim plays guitar.  We threaten duets.;negative
864;Hey everybody!  hah this day is cool! just got back from walk with the dog...  OMGosh! Send me the link again please!;positive
865; srry im not so interesting right now... stayed up til 6am cause my tummy hurt and now im pooped and have to work;negative
866; me because I might not have enough money for college!!!;negative
867;lol! woow okay its not that big of a deal;neutral
868;I love how when I leave my laptop on my bed it creates a nice toasty spot;positive
869; I mean someone hit a dog with a car. It was just laying there;neutral
870; Does it start tomorrow?  I was going to book Sam on that and forgot;negative
871; salt and vinegar, cheese and onion make your breathe smell lol  ****;negative
872; You`re welcome. There!  I added you already!;positive
873;_rose Mornin` !  Missed dance time, so I guess I will have to dance extra hard tomorrow...;neutral
874; Sorry to hear about your dude probs, what is it that`s too much?;negative
875;Discovered that Numpy arrays can hold values of any type.  Useful for manipulating arrays of numbers with uncertainties.;negative
876;maybe i should take up drinking again, feel as if i have a ,massive hangover  still not ,yself today;negative
877;just downloaded the tweet deck....look at my and my saviness;neutral
878;TODAY FRIDAY: I really hope you will read my messages here and reply to me soon. I could not reach you by phone before you go to work.;positive
879; whatever i know you like it.  HAHAHHAH!;positive
880;oh no! my fun weekend with friends is gone! my mother has made a family weekend of it!  ****;negative
881;Good morning twitterland. Happy Monday;positive
882;Writing reports....;neutral
883;thanks timmy.  turns out he has strep and a high fever.;positive
884; oh, that is very nice!! I will do something nice next week ~ going to Madrid next weekend for few days;positive
885;keeping it chilled.;positive
886;what a beautiful day not to got to my first class;positive
887; Fabulous. And I didn`t get that pic  Gmail be acting the fool sometimes. Can u DM me it?;positive
888; yeah, it`s terrible  cockatoos are the hardest to live with, so emotional. good thing he found you, though!!;neutral
889;_ that sucks!;negative
890; yes it does;positive
891;_datti Thanks sankar for ur wishes;positive
892;I love waking up and thinking it`s a weekday, but then realizing it`s the weekend.;positive
893; sorry bout the cat,;negative
894; You`re the only person to have joined in  #penilewords;neutral
895;Up and washed  I`m clothing myself as I type xD WOOOO;positive
896; miss u too. I`m still at a club...u know...west coast ****!;negative
897; love love love pot psycology. My Friday night treat;positive
898;Happy Star Wars Day  May the fourth be with you!;positive
899; Playing with lighters fire matches and grass;neutral
900;_art That would be the one.  It`s awesome sauce.;positive
901;Bucky, my ferret officially has insulinoma  Now on daily prednisone. Had interview with p-doc today, have to go back monday for testing.;neutral
902; I`ve never been to Prague, but if i had the money, it`ll be in the 10 first cities I visit;positive
903;coffee time;neutral
904; He was creepy for me at first, but I did really grow to like him. I cried like a baby when he and Tosh died.;neutral
905;_ really!? that son of a ****, screw him, ill talk to on msn later k  xox;negative
906; We didn`t...but we did have to wait a good twenty minutes for one.  Good night, though!;positive
907; I always hope they will die out but then i see the the old ones and it makes me sad;negative
908; thanks Alen, it seems that we can only submit community news, is this an error, or must we prove ourselves;neutral
909; don`t follow me. You will ruin my twitter experience;negative
910;Blah to car repairs... almost 600 dollars...   Shopping around for a better deal.;negative
911;Weetabix and Choco milk  Yum!;positive
912; me too!;neutral
913;I`m sad to have lost another person close to me to cancer;negative
914;_me Thanks! Kinda bittersweet though;neutral
915;_Nutbar Good morning  how are you? #TwitterTakeover;positive
916;First time to Twitter..;neutral
917;Captain Jack is back;neutral
918;_la ben`s dreams make me so saddddddd  i want them to be togetherrr. i swear if this **** gets me bawlinggg, so help me..;negative
919;Internet, you were so fast! And now you are so slow! Where did the fast connection go?;neutral
920; 6 am.  you?;neutral
921;30 year old Barbie dolls still can rock it...that girl was H-O-T!  and Ken ain`t so bad either!  now those are memories!;negative
922;this weather makes my fingers numb / still waiting;negative
923; LOL yeah ima mama  thanks. happy mama`s day and lakers day! i love it!;positive
924;DONE--IT`S SUMMER!!!;neutral
925; I was just at Geno`s 3hrs ago.  Would have went to Pats but the Neon Lights got me lol.  Had drinks at South Philly Bar too;neutral
926;http://yfrog.com/0xoxij Fry bread is good but they only gave me a little pinch of lettuce  ha ha;positive
927; Its WoW! effect  Thanks for the update.;positive
928;got up at 8 today, and also misses his friend ;negative
929;catching up on my reading... twitter n BF break;neutral
930; No, that`s not right - I remember now.  You were in a fearless tweet - we were both seen as fearless.;neutral
931;  my thoughts dwell on a certain person;neutral
932;"Transition time is over; tonight I work night shift. I woke up at 1330.";neutral
933;Gonna go to work with my honey today!!!! So exciting!!!;positive
934;_ aww thats too bad you lost it though;negative
935; this my new more private acc. Will only use it for close twitter friends;neutral
936;I hate going online and looking at the balance in the bank.  its always a lot lower than I need it to be.;negative
937; actually, the web works fine. tweetdeck seems to be the culprit  sadness! it`s done this at two diff. locations;neutral
938;_x How did your Geo ISU go? I swear I just had the worse day ever..;negative
939;And you could have it all, my empire of dirt! I`m in a&e with dad I`m freezing fully shivering Every1 else is warm  no fones allowed ffs!;negative
940; tell me what you think of Pride Prejudice and Zombies . . . if you`re not all hyped up on sugar;neutral
941;_tdh Can you install ruby, gems and rails on keep? Please?;neutral
942;Out for ultimate training. looking forward to the sunset!;positive
943;going to work once again. what a great few days off i had. now it`s over  but atleast i get 2 more commin up wahooooooo;positive
944; Good to see you back. Sorry that happened to you;neutral
945;My 1st Mothers Day Tomorrow;neutral
946;'you said 'darling what happened? did I fall asleep, and you carry me home? Cuz I know I wasn`t here'' Goodnight twitterererers;positive
947; I just about clear my whole office and no sign of it  next place is truck, I have yet to fully clean under back seat lol!;neutral
948; It`s not gonna storm!  because I said so!;neutral
949; I broke my ipod;negative
950;_banks 'Something must be wrong. Only found 17 July Harl/Sil books I wanted;negative
951; Haha and you should! State pride is important;positive
952; Ugh, did you just say your friend might have swine flu? OMG, why?;negative
953; haha no problem, it`s fun isn`****;positive
954;Finally got to wash my hair! I feel much better now, but I gotta dry it ... Effffffort.;positive
955;finally feel back into swing of things here at work after getting married last week! sigh of relief for no more wedding planning!;positive
956; that sucks  booo.;negative
957;Hates untalented **** being mean to my talented friends;neutral
958;looks like we`re rained out for weekend climbing;negative
959;Is Google Maps not working for anyone else?;neutral
960; oh ****!!;negative
961; i dont really trust the judgements and vouches of _xo   jk. i`ll think about becoming a friend of yours;negative
962; Jesus heals;positive
963; It`s surprising how much Billy Idol turns up in tweets. I monitor constantly - not that I`m obsessed or anything!  #BillyIdol;neutral
964; werd. that`s very true;neutral
965; Your birthday? WELL Happy birthday;positive
966;Without wings again;neutral
967; did you tweet me? i thought i remembered seeing one but i cant see it now! SO glad teatree is ok!;positive
968;Night twitterland x I have to be up in five hours  sigh;neutral
969; Happy birthday in 2 hours and 54 minuets  Haha;positive
970;lunch break`s over, going back to work....;neutral
971;Glad to see it`s a typical Bank Holiday weather wise - I was going to do so much today - yeah right!;positive
972; Hayley Williams is pretty much amazzing;positive
973; the app said i need 12.1.5 or later;neutral
974; --Nothing;neutral
975;is in PHP website upgrade hell on a Bank Holiday. How`s that for planning!;neutral
976; not really having a good night... missing my little girl...;negative
977;  miss you captain;negative
978;Im sending this to my mother!  http://bit.ly/1aa1RF;neutral
979; OI, are you mocking the fact I dont cry at tv things?!  *Feels bad*xxx;negative
980; i am public and can`t get anyone to follow me;neutral
981; Until  brings back our EVERYONE button, access PT @ http://twitter.com/public_timeline or link in bottom of Settings.;neutral
982; Boring? Who you been talking to? Lol not me  ( no ****);neutral
983;  I know, right? I guess the oldest doesn`t hold rank on field trips anymore.;neutral
984;just signed up..so, hello twitter world, here I am;neutral
985; I won`t be getting any ROTF toys `till MUCH later.  Tell me if anybody isn`t/is worth getting.;neutral
986; heading over to xbox  will go shopping 2morrow;neutral
987; I saw that you were calling but cannot answer as I`m in the second hour of a phone convo with my mom and she won`t stop talking;neutral
988;is excited!  http://plurk.com/p/stk04;positive
989; hmmm really??? that`s weird idk about that one  sowwy;negative
990; oh that looks boring  and even more boring you have an exam on a saturday;negative
991;Practice was a beast today. Not going to see Julian tonight;neutral
992;Getting somewhere with my first 'real' KiokuDB and catalyst app, yay;neutral
993; Thanks though - am trying to be positive!!  Wine may not be helping lol!!  Wish I could make the gigs.....;positive
994; i think my niece got me sickee  lame.;negative
995;Rise and shine  Time to get prettifide.;positive
996; I tried sooooo hard to work from home today, but failed  Not my fault though.;negative
997; Gosh I`ve a stinky old headache. Maybe I should have lunchfast;negative
998;Glenna is bored but glad that it is a beautiful day. Macy went swimming and Kris played golf while I sat at home waiting for them;neutral
999;bout 2 have 1 more drink then imma head in da house;neutral
1000;i get so sucked in to true life, and that steve-o documentary was intense, i love that ****, it`s nice to see people get their lives back;neutral
1001;I love my life  Ni night twitter!<3;positive
1002; We knew what what you meant!;neutral
1003;Succesfully following Tayla!!;positive
1004;my new phrase is `you never doubt mo williams`   six game win streak!;neutral
1005; Have fun tomorrow night. I think it will be more fun at a bar than art gallery. Wish I could be there;positive
1006; 4th... Please not! Maybe she`ll get 3 attempts and win tomorrow!!;neutral
1007;trying to learn to tweet!!  it`s all good I hope..;positive
1008;Bleargh. I can never clean as much of my house as I want to before work, no matter how early I wake up. Today: sink, laundry.;negative
1009;Great, social network sites are still growing;positive
1010; If I got paid by the hour I could retire by now  do you have xBox live? I am thinking Rock Band;neutral
1011;I should learn not to walk all day, and then sprint through sprinklers without stretching.;neutral
1012; So...I was half asleep when I wrote the previous message. Greatest friends !!haha  You are!!;positive
1013; I`m still trying to see Star Trek! I`ll just have to Woman up and go alone. BF is pretty much worthless anyway  lol;neutral
1014;  Laws change in the 70s or 80s.   I could really push it bcause gran from Bathgate, but she was US citizen b4 dad born.;neutral
1015;"some of my new followers are pretty cool tweeps; check `em out.";positive
1016;no work today! went shopping, and now relaxing  &learning for the toefl;positive
1017;Is off to watch arsenal v chelsea today;neutral
1018;He`s getting ear tubes in about an hour so no food;neutral
1019; yay asap lol awwh I miss our friday night happy hours even luna del sea and the 'boy' hahahaha;negative
1020;left the bases loaded...;neutral
1021; Cowboy westerns...haven`t seen those in a while. good luck;positive
1022; It`s already over? ****!;negative
1023; I was trying to back all her documents up but it wasn`t playing along. its taking forever but am back at it again now;neutral
1024;Doing some test shooting later this afternoon.  Did I mention being in Holland for an indie wine festival this week? My tongue is red.;neutral
1025;My dad knows i got drunk today. And i didnt get in trouble.;positive
1026; so i`ll excuse your love for the Cavs and the west, even though I don`t share it!;neutral
1027; Lol - I could try!  Seriously tho, dont do all of it! That sucks! ****;negative
1028; **** i wanna see the rest!! i only saw like 30 minutes;negative
1029;Happy mothers day mom!!!  i love you.;positive
1030;burning cd`s,,,,,,,,, **** outa blank disc`s;positive
1031; new album is truly genius, so happy with it;positive
1032; you`re alive!!!!!!  Go w/ The Notebook...it`ll make you cry and stuff;negative
1033; Okaii Cool!  I Can`t Wait For The Series To Begin It`s Guna Be Awesome  x;positive
1034;crying to A Walk To Remember as usual;negative
1035;i only hav 8 followers                 !;neutral
1036;happy star wars day everyone  off to celebrate with the family... ok we`re not celebrating it but i am going round to the famo`s...;positive
1037;I also have a certain CD from camp that a certain somebody gave me...  Yeah, there`s this guy in the video that`s really frickin hot!;positive
1038;IT`S MOTHER`S DAY;neutral
1039;Yay for birthdays  sadly my voice is almost gone :/ but it was a pretty good night!;neutral
1040;we finally hit 1,000 friends! thanks!;positive
1041; I`m part of a religion called People-With-Good-Taste-In-Music. We don`t celebrate Jonas Brothers Day.;neutral
1042;I`m at work....bored out of my mind.;negative
1043;watching the notebook;neutral
1044; Yes because those taxes disguise the booking fees and commissions that online travel portals charge. Try iXiGO.com next time;neutral
1045;twitters gettin a lil bit confusin... twitterific?twitdroid?twitterberry? i understant the txt bit tho lol  ah well, twitters cool anyways;neutral
1046;Finally sleep time;neutral
1047; http://twitpic.com/4l85a - best kind of gum ever! I just bought a pack;positive
1048;The Heater blew up;negative
1049; i tried. and failed;negative
1050;  just finished mine, some parts were remarkably difficult  cramming kanji now!;negative
1051;why is everyones tweets about britains got talent?! i feel left out;negative
1052;yay mothers day  i love mi madre;positive
1053;They wouldn`t reverse any of my overdraft fees.;negative
1054;_N9ne I`m not having a good day;negative
1055;i miss the Soulja Boy dance...;negative
1056;I woke up an came to the realization that I can put it off as much as I want, but I need 2 drop some friends. Dammit!;negative
1057;11 Days left until freedom. I really just want to get through this weekend. I hate essays.;negative
1058;  lol you guys are awesome;positive
1059;Home, good night world;positive
1060; http://twitpic.com/4vtlm - awww, she is really cute;positive
1061;got alot of runnin around to do today to get this job app completed so they can have it on file... so glad i got this job!!;positive
1062;lappy charger is completely dead... conserving what`s left of the battery until i can afford to buy a new one;negative
1063; well, i must say she is very lucky to have you! i guess that means no chillin and concert with me huh;neutral
1064;Happy Mother`s Day all of the mom`s around the world!  I love mine more than anything in the world and can`t wait to celebrate! WOO!;positive
1065;I put a real pic of myself up. I`m going to miss the avatar.;negative
1066;doing my folio work but keep on getting distracted by deb pics;negative
1067;sad that borders did not have guerrilla gardening book but otherwise a most lovely relaxing day;neutral
1068;I can`t sleep. I can`t find my grandmother`s quilt or locket. I`m sick at myself cause I may have lost them somehow. Or they were stolen;negative
1069;Had to take my bad **** dog to the pet hotel....so sad;negative
1070;about to hit the sheets.;neutral
1071;I wish i had my iPod , i need some jonas . I miss their sexy voices  JB forever !;neutral
1072;watching Gilmore Girls reruns!! Don`t know what else to do for the day;neutral
1073;Wow, its hot and miserable. People are probably killing themselves right about now...;negative
1074; Thanks mama ! I absolutely adore her;positive
1075; ohh snapp, have fun;neutral
1076;Sitting waiting for an exam to start;neutral
1077; I don`t think I`ve ever tried peanut butter on toast;neutral
1078; i would but he`s premiering avatar footage and can`t do it then. also, we better hang out.;positive
1079;Home from Chelsea`s  Jam sessions = <3 = Chelsea + Abby = I luh you.;positive
1080;we`ll be visiting my grandparents later. BTW i just heard katy perry`s HOOK UP whew so cool i love it more than k.clarkson`s version;positive
1081;  very sweet!!! HAHA. I am like super proud to be a new mom!!! I feel like, i got the PERFECT daughter. And i am a GREAT mom!!!;positive
1082;gosh im bored. its early..n i wanna go..to sleeeepp why am i at work?  *kay<3*;negative
1083; I`m sure she`ll be fine. They`re not as daft as they look (sometime);neutral
1084;HA! I`d give Kristen plenty of free hugs! *sigh* if only I could;neutral
1085; And, yes. I <3 mac, if only it weren`t so expensive;neutral
1086; I hate cottage cheese.  I even got some fancy stuff last weekend with lemon and berries...I could only eat half of it.;negative
1087;  link isn`t working;neutral
1088;I just need to go to the bank;neutral
1089; you should come to Estonia, I know some epic horses here, hehe, and a good trainer and good beaches were to ride!;positive
1090;_jonas101 WOW they`re totally amazing and they`re more than awesome;positive
1091;Just got laid off  stupid economy!;negative
1092;http://twitpic.com/67i90 - My plans have been ruined;negative
1093;nothing better than to have your Grandaughter smile and nothing feels better than that big hug!! Grandkids, what a hoot!;positive
1094;`Wake Up Darling`;neutral
1095; oh I know. and I aprreciate it  it can be my back up plan;positive
1096; Yes, I would love some more cowbell!;positive
1097; Umm don`t ya mean ship;neutral
1098;i really wanna go to australia and england.;neutral
1099;I just slept that entire flight, and woke up to the fact that the girl beside me had been watching Chitty Chitty Bang Bang!;neutral
1100;just had a gym sesh.;neutral
1101;Trying to get to sleep but mum is blaring Les Mis really loudly in the sitting room;negative
1102;Don`t think I`m gonna be able to go to see the JB 3D Concert...wrong time, no where very close by;negative
1103;I`m a sad panda, hulu doesn`t have the elephant show   no Skinnamarinkydinkydink sing alongs for me.;negative
1104; what`s up? what happened? DM me if you need to. TXT on my phone is defunk`d;neutral
1105;is 500 words into a 10 minute speech on 80s teen movies. due wednesday. blah blah. can`t wait for the glenn ball!;neutral
1106;I`m gonna cry    I went bad at my History test ! I really hate History  !;negative
1107;just got up, couldn`t sleep anymore i guess and im not really gonna go back to bed, im not really sleepy;neutral
1108;Going to work;neutral
1109; i agree with the whole Hollie thing;neutral
1110;_ Truetrue  But he`s not! xD;positive
1111;Sad I missed  going away party due to too much work, but I really am gonna miss that kid;negative
1112;I`ve come to the conclusion that lemongrass chicken tastes like lysol -  so much for lunch!;neutral
1113;One of the most random phone calls ever. My god kill me now.;negative
1114;& more #<3criminy cuteness! http://tinyurl.com/cd8yab #sinfest;positive
1115;the neighborhood gas station is gone, kaput, out of business. No more convenient trips for ice or whatevs. over 3 miles now to travel..;negative
1116;tomorrow`s mother`s day  me n my sis gonna make an onigiri for our mom~!! its gonna be so kewl!! cant wait for tomorrow >_<;positive
1117;it makes me sad when people phones are sick;negative
1118;taking care of sick children;positive
1119; welcome to my life;positive
1120; Same here - events + writing songs. But I just finished my TMNT vs MMPR song, so I`m excited to record that on Wednesday;positive
1121; yup! way to **** early and I`m already at work;neutral
1122; oh sweet! I`ll definitely check it out when I get the chance...;positive
1123; Youuuu`re an aaass  my aaass loooool;negative
1124;I want to ride my bicycle today, but it`s too cold and cloudy today;negative
1125; important person?  who?;neutral
1126; That`s not what  said  I like you, too, though.  is going steady with , though.....;neutral
1127; Thank you! One day at a time, right?;positive
1128; I missed mine, too. Not fun...;negative
1129;via : Found #geocache Head`s Up! http://coord.info/gc1ret6. Probably my only find of the day.  http://bit.ly/JS3S4;neutral
1130;let me dream about my spock now goodnight;neutral
1131;_e thanks for following me. Nice to meet you;positive
1132;Danny cut his beautiful curls;negative
1133;God is so good!!;positive
1134;forcing myself to watch the movie 1984 for my book report  im lazy to read;negative
1135; thanks amy, its full of hotness;positive
1136; don`t think i can take a needle. watched a horribly gory short film on drugs a few months ago. i`m scarred for life.;negative
1137;Just finished watching the last of Star Wars;neutral
1138;Thanks    ? http://blip.fm/~5z6n8;neutral
1139;can`t be arsed to get out of bed  hello sunshine;negative
1140;Every pair of jeans I own nowadays is very tight.  I think mah butt gettin big (oh!);negative
1141;I bought two tops and a scarf yesterday...sister has successfully hijacked them this morning to wear to breakfast (after removing tags);neutral
1142; btw, do you realize your profile pic makes you look much older than you say you are?;neutral
1143; Aw, sorry E. :/ I hope it looks up for you (lame ear) And there`s always next year! ****. Lamer ear :/ Fail. Uhh..Love ya E!;neutral
1144; tiny.cc doesn`t seem to load for me  I was thinking on going to the batting cages but apparently you gotta book in adv;neutral
1145; Cheese and Onion! Vinegar taste weird on crisps! England`s got loads of weird crisps flavorus  lol.. What do you like ? x;negative
1146; Thank yooou! I might have to get it seen to... hm...  ****;positive
1147;Ohh grandpas.. Stable.. Won`t kno all details til tomorrow when I visit... Keep him me and my fam in ur prayers..thank you  ... Goodnite;positive
1148;Sore throat. This is not good. I have four performances this weekend.;negative
1149; it because your handwriting isnt on any of them. and everyone is making fun of me because im sitting by myseld in the lrc;negative
1150;So disappointed about the talent lineup for 'Reventï¿½n Super Estrella 2009'...hmm...Have the feeling I won`t get tix this time around.;negative
1151;This is for all of you ppl! The 1 year Anniversary Video. http://is.gd/ysbs more to come after the break;neutral
1152; can I come!?   I`m Merci btw., I have always been so inspired by you since I was a teenager.;positive
1153; how crappy for him;negative
1154;its freezing cold! i cant function right in this type of weather. starving to the max;negative
1155;Anyone ever had that heavy feeling of sadness in their hearts? Thats my case rite now.;negative
1156; haha! sorry to hear that;neutral
1157;_k_2k - Y!360 closing? get out!;negative
1158; He`s too old school for burnouts. Just a lap around the track, like they used to.  #NASCAR;neutral
1159;Hannah slept here last night  just gave her her 5:00 AM bottle and she went right back to sleep but I`m up! lol;neutral
1160;" aww if I could, I would...  GBY ;)";positive
1161;I ate too many kisses.;negative
1162; Thanks for the warning. Good thing my heart is unbreakable.;positive
1163;Everyone At My Place Tomorrow  Bonfire, Tofu Dogs, And Austin Powers.;neutral
1164; ... like you`re stuff!  Strange voicemails! http://bit.ly/yKxms;positive
1165; Well done! Happy for ya.;positive
